haskell-vector 0.13.1.0-31
haskell-vector-algorithms 0.9.0.2-5
haskell-vector-stream 0.1.0.1-2
haskell-void 0.7.3-203
haskell-witherable 0.4.2-103
haskell-x11 1.10.3-2
haskell-x11-xft 0.3.4-68
haskell-xml-conduit 1.9.1.3-55
haskell-xml-types 0.3.8-9
haskell-zlib 0.6.3.0-60
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.3.0-3
hunspell 1.7.2-2
hwdata 0.385-1
iana-etc 20240612-1
icu 75.1-1
ijs 0.35-6
imath 3.1.11-2
imlib2 1.12.3-1
inkscape 1.3.2-9
intel-gmmlib 22.3.20-1
intel-media-driver 24.2.5-1
intel-ucode 20240813-1
iproute2 6.10.0-2
iptables 1:1.8.10-2
iputils 20240117-1
iso-codes 4.16.0-1
iwd 2.19-1
jansson 2.14-4
jasper 4.2.4-1
jbig2dec 0.20-1
jbigkit 2.1-8
jq 1.7.1-2
json-c 0.17-2
json-glib 1.8.0-2
jsoncpp 1.9.5-3
kactivities-stats5 5.116.0-1
kactivities5 5.116.0-1
kactivitymanagerd 6.1.4-1
karchive 6.4.0-1
karchive5 5.116.0-1
kauth 6.4.0-1
kauth5 5.116.0-1
kbd 2.6.4-1
kbookmarks 6.4.0-1
kbookmarks5 5.116.0-1
kcmutils 6.4.0-1
kcmutils5 5.116.0-1
kcodecs 6.4.0-1
kcodecs5 5.116.0-1
kcolorscheme 6.4.0-1
kcompletion 6.4.0-1
kcompletion5 5.116.0-1
kconfig 6.4.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.4.0-1
kconfigwidgets5 5.116.0-1
kcoreaddons 6.4.0-1
kcoreaddons5 5.116.0-1
kcrash 6.4.0-1
kcrash5 5.116.0-1
kdbusaddons 6.4.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.1.4-1
kdeclarative 6.4.0-1
kdeclarative5 5.116.0-1
kdecoration 6.1.4-1
kded 6.4.0-1
kded5 5.116.0-1
kdesu 6.4.0-1
kdesu5 5.116.0-1
kdnssd 6.4.0-1
kdnssd5 5.116.0-1
kdsoap-qt5 2.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kglobalaccel 6.4.0-1
kglobalaccel5 5.116.0-1
kglobalacceld 6.1.4-1
kguiaddons 6.4.0-1
kguiaddons5 5.116.0-1
kholidays 1:6.4.0-1
kholidays5 1:5.116.0-1
ki18n 6.4.0-1
ki18n5 5.116.0-1
kiconthemes 6.4.0-1
kiconthemes5 5.116.0-1
kidletime 6.4.0-1
kidletime5 5.116.0-1
kio 6.4.1-1
kio-extras 24.05.2-1
kio-fuse 5.1.0-3
kio5 5.116.0-1
kirigami 6.4.0-2
kirigami-addons 1.4.0-1
kirigami2 5.116.0-1
kitemmodels 6.4.0-1
kitemmodels5 5.116.0-1
kitemviews 6.4.0-1
kitemviews5 5.116.0-1
kjobwidgets 6.4.0-1
kjobwidgets5 5.116.0-1
kmod 32-1
knewstuff 6.4.0-1
knewstuff5 5.116.0-1
knotifications 6.4.0-1
knotifications5 5.116.0-1
knotifyconfig 6.4.0-1
knotifyconfig5 5.116.0-1
kpackage 6.4.0-1
kpackage5 5.116.0-1
kparts 6.4.0-1
kparts5 5.116.0-1
kpeople5 5.116.0-1
kpipewire 6.1.4-1
kpty 6.4.0-1
kpty5 5.116.0-1
kquickcharts 6.4.0-1
kquickcharts5 5.115.0-1
krb5 1.21.3-1
krunner 6.4.0-1
krunner5 5.115.0-1
kscreenlocker 6.1.4-1
kservice 6.4.0-1
kservice5 5.116.0-1
ksshaskpass 6.1.4-1
kstatusnotifieritem 6.4.0-1
ksvg 6.4.0-1
ksystemstats 6.1.4-1
ktexteditor 6.4.0-1
ktexteditor5 5.116.0-1
ktextwidgets 6.4.0-1
ktextwidgets5 5.116.0-1
kuserfeedback 6.4.0-1
kwallet 6.4.0-1
kwallet5 5.116.0-1
kwayland 6.1.4-1
kwayland5 5.116.0-1
kwidgetsaddons 6.4.1-1
kwidgetsaddons5 5.116.0-1
kwin 6.1.4-1
kwindowsystem 6.4.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.4.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.0-5
layer-shell-qt 6.1.4-1
lcms2 2.16-1
ldb 2:2.9.1-2
lensfun 1:0.3.4-4
less 1:661-1
lib2geom 1.3-2
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.4-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.1.1-1
libb2 0.98.1-3
libblockdev 3.1.1-2
libblockdev-crypto 3.1.1-2
libblockdev-fs 3.1.1-2
libblockdev-loop 3.1.1-2
libblockdev-mdraid 3.1.1-2
libblockdev-nvme 3.1.1-2
libblockdev-part 3.1.1-2
libblockdev-swap 3.1.1-2
libbluray 1.3.4-1
libbpf 1.4.3-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.8-3
libcamera 0.3.1-2
libcamera-ipa 0.3.1-2
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.70-1
